ID;Muskel;Weitere_Muskeln;Muskelgruppe_UI;Weitere_Muskelgruppen_UI;Übung;Equipment;Equipment_Normalisiert;Variationen;Aliase;Tracking_Typ;Übungstyp;Bewegungsmuster;Seitenmodus;Aktiv;Review_Status;Review_Hinweis
EX-0028;M. deltoideus Pars spinalis;;Schulter;;Face Pull;;Single Kabelturm;Band|mit Außenrotation|Seil|verschiedene Zughöhen;;weight_reps;isolation;shoulder_retraction;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm
EX-0029;M. deltoideus Pars spinalis;;Schulter;;Rear-Delt Row;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;breite Ellenbogenführung|brustgestützt;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0030;M. deltoideus Pars spinalis;;Schulter;;High Row mit breiten Ellenbogen;Single Kabelturm;Single Kabelturm;Band|Plate-loaded Maschine;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0031;M. deltoideus Pars spinalis;;Schulter;;Rear-Delt Swing;Kurzhantel;Kurzhantel;Bauchlage/Schrägbank;;weight_reps;isolation;shoulder_abduction;bilateral;true;auto_ok;
EX-0032;M. deltoideus Pars spinalis;;Schulter;;W-Raise / Prone W;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_reps;isolation;shoulder_retraction;bilateral;true;auto_ok;
EX-0033;M. deltoideus Pars spinalis;;Schulter;;Reverse Cable Crossover;;Single Kabelturm;einarmig|stehend|vorgebeugt;;weight_reps;isolation;shoulder_retraction;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm
EX-0034;M. biceps brachii;;Bizeps/Armbeuger;;Bizepscurl;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;stehend/sitzend;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0035;M. biceps brachii;;Bizeps/Armbeuger;;Schrägbankcurl;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0036;M. biceps brachii;;Bizeps/Armbeuger;;Scottcurl / Preachercurl;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|Maschine|SZ-Stange;einarmig;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0037;M. biceps brachii;;Bizeps/Armbeuger;;Spider Curl;Single Kabelturm|Kurzhantel|SZ-Stange;Single Kabelturm|Kurzhantel|SZ-Stange;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0038;M. biceps brachii;;Bizeps/Armbeuger;;Bayesian Curl;Single Kabelturm;Single Kabelturm;Band|einarmig/beidarmig;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0039;M. biceps brachii;;Bizeps/Armbeuger;;Konzentrationscurl;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0040;M. biceps brachii;;Bizeps/Armbeuger;;Drag Curl;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0041;M. biceps brachii;M. brachialis|M. latissimus dorsi;Bizeps/Armbeuger;Bizeps/Armbeuger|Rücken;Klimmzug;Eigengewicht|Klimmzugstange;Eigengewicht|Klimmzugstange;breit/eng|gewichtet|Neutralgriff|Obergriff|Untergriff|unterstützt;Chin-up mit Untergriff|Klimmzug / Chin-up|Neutralgriff-Klimmzug;bodyweight_reps;compound;vertical_pull;bilateral;true;auto_ok;
EX-0042;M. biceps brachii;;Bizeps/Armbeuger;;Supinationscurl;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_reps;isolation;forearm_rotation;variable;true;auto_ok;
EX-0043;M. brachialis;;Bizeps/Armbeuger;;Hammercurl;Kurzhantel|Maschine;Kurzhantel|Maschine;Band|Seil am Kabel;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0044;M. brachialis;;Bizeps/Armbeuger;;Reverse Curl;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0045;M. brachialis;;Bizeps/Armbeuger;;Cross-body Hammercurl;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;elbow_flexion;unilateral;true;auto_ok;
EX-0046;M. brachialis;;Bizeps/Armbeuger;;Zottman Curl;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0047;M. brachialis;;Bizeps/Armbeuger;;Preacher Hammercurl;Kurzhantel|Maschine;Kurzhantel|Maschine;Seil/Kabelzug;;weight_reps;isolation;elbow_flexion;variable;true;auto_ok;
EX-0048;M. triceps brachii;;Trizeps;;Trizepsdrücken am Kabel;;Single Kabelturm;einarmig|Seil|Stange|Untergriff|V-Griff;;weight_reps;isolation;elbow_extension;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm
EX-0049;M. triceps brachii;;Trizeps;;Überkopf-Trizepsstrecken;Single Kabelturm|Kurzhantel|SZ-Stange;Single Kabelturm|Kurzhantel|SZ-Stange;Band|ein-/beidarmig|Seil;;weight_reps;isolation;elbow_extension;bilateral;true;auto_ok;
EX-0050;M. triceps brachii;;Trizeps;;French Press / Skull Crusher;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;Single Kabelturm|Kurzhantel|Langhantel|SZ-Stange;flach/schräg/negativ;;weight_reps;isolation;elbow_extension;bilateral;true;auto_ok;
EX-0051;M. triceps brachii;;Trizeps;;Enges Bankdrücken;Kurzhantel|Langhantel|Multipresse;Kurzhantel|Langhantel|Multipresse;;;weight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0052;M. triceps brachii;;Trizeps;;Diamond Push-up;Bodenschutzmatte;Bodenschutzmatte;erhöht|gewichtet;;bodyweight_reps;compound;horizontal_push;bilateral;true;auto_ok;
EX-0053;M. triceps brachii;;Trizeps;;JM Press;Langhantel|Multipresse;Langhantel|Multipresse;;;weight_reps;isolation;horizontal_push;bilateral;true;auto_ok;
EX-0054;M. triceps brachii;;Trizeps;;Tate Press;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;horizontal_push;bilateral;true;auto_ok;
EX-0055;M. triceps brachii;;Trizeps;;Kickback;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_reps;isolation;elbow_extension;variable;true;auto_ok;
EX-0056;M. triceps brachii;;Trizeps;;Bodyweight Triceps Extension;Bank|Klimmzugstange;Bank|Klimmzugstange;Langhantel im Rack|TRX;;bodyweight_reps;isolation;elbow_extension;bilateral;true;auto_ok;
EX-0057;M. flexor carpi radialis;;Unterarme;;Handgelenkcurl in Flexion;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;einarmig/beidarmig;;weight_reps;isolation;wrist_flexion;variable;true;auto_ok;
EX-0058;M. flexor carpi radialis;;Unterarme;;Radialdeviation des Handgelenks;Single Kabelturm;Single Kabelturm;Band|Kurzhantel/Hammer;;weight_reps;isolation;wrist_flexion;bilateral;true;auto_ok;
EX-0059;M. flexor carpi radialis;;Unterarme;;Wrist-Roller in Flexionsrichtung;;Wrist Roller;Kabelgerät|Seilrolle;;reps_only;isolation;wrist_flexion;bilateral;true;prüfen;"Equipment ergänzt: Wrist Roller; Tracking-Typ fachlich prüfen"
EX-0060;M. flexor carpi radialis;;Unterarme;;Hebel-Curl mit radialer Abweichung;;Hebel/Hammer;Hammer/Macebell|Kurzhantel einseitig beladen;;reps_only;isolation;wrist_flexion;variable;true;prüfen;"Equipment ergänzt: Hebel/Hammer; Tracking-Typ fachlich prüfen"
EX-0061;M. flexor carpi radialis;;Unterarme;;Isometrischer Handgelenk-Flexionshalt;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_time;isometric;wrist_flexion;bilateral;true;auto_ok;
EX-0062;M. flexor carpi ulnaris;;Unterarme;;Ulnardeviation des Handgelenks;Single Kabelturm;Single Kabelturm;Band|Kurzhantel/Hammer;;weight_reps;isolation;wrist_flexion;bilateral;true;auto_ok;
EX-0063;M. flexor carpi ulnaris;;Unterarme;;Hebelbewegung zur Ulnarseite;;Hebel/Hammer;Hammer/Macebell|Kurzhantel einseitig beladen;;weight_reps;isolation;wrist_extension;bilateral;true;prüfen;Equipment ergänzt: Hebel/Hammer
EX-0064;M. flexor carpi ulnaris;;Unterarme;;Isometrischer Handgelenk-Flexionshalt mit Ulnardeviation;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_time;isometric;wrist_flexion;bilateral;true;auto_ok;
EX-0065;M. brachioradialis;M. latissimus dorsi;Bizeps/Armbeuger;Rücken;Seilklettern / Seilziehen;;Seil;Klettern|Schlitten-Seilzug|Schlittenzug|sitzend|sitzender Seilzug|stehend;Rope Climb / Seilziehen|Seil-Klettern / Rope Pull;distance_time;isolation;grip;bilateral;true;prüfen;"Equipment ergänzt: Seil; Tracking-Typ fachlich prüfen"
EX-0066;M. extensor digitorum;;Unterarme;;Fingerextension gegen Widerstand;;Widerstandsband;Finger-Extensor-Trainer|Gummiband um Finger|Therapieknete;;reps_only;isolation;wrist_extension;bilateral;true;prüfen;"Equipment ergänzt: Widerstandsband; Tracking-Typ fachlich prüfen"
EX-0067;M. extensor digitorum;;Unterarme;;Reverse Wrist Curl;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;;;weight_reps;isolation;wrist_flexion;variable;true;auto_ok;
EX-0068;M. extensor digitorum;;Unterarme;;Wrist-Roller in Extensionsrichtung;;Wrist Roller;Kabelgerät|Seilrolle;;reps_only;isolation;wrist_extension;bilateral;true;prüfen;"Equipment ergänzt: Wrist Roller; Tracking-Typ fachlich prüfen"
EX-0069;M. extensor digitorum;;Unterarme;;Fingeröffnung im Reiskübel;;Reiskübel;Reis/Sand|verschiedene Handpositionen;;reps_only;isolation;wrist_extension;bilateral;true;prüfen;"Equipment ergänzt: Reiskübel; Tracking-Typ fachlich prüfen"
EX-0070;M. extensor digitorum;;Unterarme;;Isometrische Fingerextension;;Widerstandsband;Band|manuelle Gegenkraft|Therapieknete;;time;isometric;wrist_extension;bilateral;true;prüfen;Equipment ergänzt: Widerstandsband
EX-0071;M. extensor digiti minimi;;Unterarme;;Kleinfingerextension gegen Widerstand;;Widerstandsband;Gummiband|Mini-Band|Therapieknete;;reps_only;isolation;wrist_extension;bilateral;true;prüfen;"Equipment ergänzt: Widerstandsband; Tracking-Typ fachlich prüfen"
EX-0072;M. extensor digiti minimi;;Unterarme;;Kleinfinger-Abspreizen und Strecken in Therapieknete;;Therapieknete;elastisches Band|Knete;;reps_only;isolation;wrist_extension;bilateral;true;prüfen;"Equipment ergänzt: Therapieknete; Tracking-Typ fachlich prüfen"
EX-0073;M. extensor digiti minimi;;Unterarme;;Reverse Wrist Curl mit betonter Ulnarseite;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;wrist_flexion;variable;true;auto_ok;
EX-0074;M. extensor digiti minimi;;Unterarme;;Isometrische Kleinfingerextension;;Widerstandsband;Band|manuelle Gegenkraft;;time;isometric;wrist_extension;bilateral;true;prüfen;Equipment ergänzt: Widerstandsband
EX-0075;M. extensor carpi ulnaris;;Unterarme;;Ulnardeviation in Handgelenkextension;Single Kabelturm;Single Kabelturm;Band|Kurzhantel/Hammer;;weight_reps;isolation;wrist_flexion;bilateral;true;auto_ok;
EX-0076;M. extensor carpi ulnaris;;Unterarme;;Hebelbewegung zur Ulnarseite in Pronationsstellung;;Hebel/Hammer;einseitig beladene Kurzhantel|Hammer/Macebell;;weight_reps;isolation;forearm_rotation;bilateral;true;prüfen;Equipment ergänzt: Hebel/Hammer
EX-0077;M. extensor carpi ulnaris;;Unterarme;;Isometrische Handgelenkextension mit Ulnardeviation;Single Kabelturm;Single Kabelturm;Band|manuelle Gegenkraft;;weight_time;isometric;wrist_flexion;bilateral;true;auto_ok;
EX-0078;M. supinator;;Unterarme;;Unterarm-Supination gegen Widerstand;Single Kabelturm;Single Kabelturm;Band|Kurzhantel/Hammer|Unterarmtrainer;;reps_only;isolation;forearm_rotation;bilateral;true;prüfen;Tracking-Typ fachlich prüfen
EX-0079;M. supinator;;Unterarme;;Hebel-Supination mit Hammer;;Hebel/Hammer;einseitig beladene Kurzhantel|Macebell;;reps_only;isolation;forearm_rotation;bilateral;true;prüfen;"Equipment ergänzt: Hebel/Hammer; Tracking-Typ fachlich prüfen"
EX-0080;M. supinator;;Unterarme;;Isometrische Supination;Single Kabelturm;Single Kabelturm;Band|manuelle Gegenkraft;;weight_time;isometric;forearm_rotation;bilateral;true;auto_ok;
EX-0081;M. supinator;;Unterarme;;Zottman Curl mit kontrollierter Supination;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;forearm_rotation;variable;true;auto_ok;
EX-0082;M. pronator teres;;Unterarme;;Unterarm-Pronation gegen Widerstand;Single Kabelturm;Single Kabelturm;Band|Kurzhantel/Hammer|Unterarmtrainer;;reps_only;isolation;forearm_rotation;bilateral;true;prüfen;Tracking-Typ fachlich prüfen
EX-0083;M. pronator teres;;Unterarme;;Hebel-Pronation mit Hammer;;Hebel/Hammer;einseitig beladene Kurzhantel|Macebell;;reps_only;isolation;forearm_rotation;bilateral;true;prüfen;"Equipment ergänzt: Hebel/Hammer; Tracking-Typ fachlich prüfen"
EX-0084;M. pronator teres;;Unterarme;;Isometrische Pronation;Single Kabelturm;Single Kabelturm;Band|manuelle Gegenkraft;;weight_time;isometric;forearm_rotation;bilateral;true;auto_ok;
EX-0085;M. pronator teres;;Unterarme;;Zottman Curl mit kontrollierter Pronation;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;;;weight_reps;isolation;forearm_rotation;variable;true;auto_ok;
EX-0086;M. pronator teres;;Unterarme;;Pronations-Wrist-Roller;;Wrist Roller;Seilrolle|Unterarmgerät;;reps_only;isolation;forearm_rotation;bilateral;true;prüfen;"Equipment ergänzt: Wrist Roller; Tracking-Typ fachlich prüfen"
EX-0087;M. trapezius;;Rücken;;Shrug;Single Kabelturm|Kurzhantel|Langhantel|Maschine|Multipresse|Trap(Hex) Bar;Single Kabelturm|Kurzhantel|Langhantel|Maschine|Multipresse|Trap(Hex) Bar;einarmig;;weight_reps;isolation;shoulder_elevation;bilateral;true;auto_ok;
EX-0088;M. trapezius;;Rücken;;Farmer Carry;Kettlebell|Kurzhantel|Trap(Hex) Bar;Kettlebell|Kurzhantel|Trap(Hex) Bar;einarmiger Suitcase Carry|Farmers Handles;;weight_distance;carry;carry;bilateral;true;auto_ok;
EX-0089;M. trapezius;;Rücken;;High Row;Single Kabelturm|Maschine;Single Kabelturm|Maschine;Band|brustgestützt;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0090;M. trapezius;;Rücken;;Y-Raise;Single Kabelturm|Kurzhantel|Schrägbank;Single Kabelturm|Kurzhantel|Schrägbank;Band;;weight_reps;isolation;horizontal_pull;bilateral;true;auto_ok;
EX-0091;M. trapezius;;Rücken;;Scapular Pull-up;Klimmzugstange;Klimmzugstange;unterstützt;;bodyweight_reps;isolation;vertical_pull;bilateral;true;auto_ok;
EX-0092;M. trapezius;;Rücken;;Overhead Carry;Kettlebell|Kurzhantel|Langhantel;Kettlebell|Kurzhantel|Langhantel;ein-/beidarmig;;weight_distance;carry;carry;bilateral;true;auto_ok;
EX-0093;M. trapezius;;Rücken;;Rack Pull;Langhantel|Multipresse|Trap(Hex) Bar;Langhantel|Multipresse|Trap(Hex) Bar;;;weight_reps;compound;hip_hinge;bilateral;true;auto_ok;
EX-0094;M. trapezius;MM. rhomboidei;Rücken;Rücken;Scapular Row / Kelso Shrug;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;;Kelso Shrug / Scapular Row;weight_reps;compound;shoulder_elevation;bilateral;true;auto_ok;
EX-0095;M. latissimus dorsi;;Rücken;;Latzug;;Single Kabelturm|Maschine;breit|einarmig|eng|Maschine/Kabelzug|neutral|Untergriff;;weight_reps;isolation;vertical_pull;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm|Maschine
EX-0096;M. latissimus dorsi;;Rücken;;Gerader Armzug / Straight-arm Pulldown;Single Kabelturm|Maschine;Single Kabelturm|Maschine;Band|Seil/Stange;;weight_reps;isolation;vertical_pull;bilateral;true;auto_ok;
EX-0097;M. latissimus dorsi;;Rücken;;Langhantelrudern mit Lat-Fokus;;Langhantel;klassisch|Pendlay|Untergriff|Yates Row;;weight_reps;compound;horizontal_pull;bilateral;true;prüfen;Equipment ergänzt: Langhantel
EX-0098;M. latissimus dorsi;;Rücken;;Einarmiges Rudern;Single Kabelturm|Kurzhantel|Maschine;Single Kabelturm|Kurzhantel|Maschine;Landmine;;weight_reps;compound;horizontal_pull;unilateral;true;auto_ok;
EX-0099;M. latissimus dorsi;;Rücken;;Kabelrudern mit engem Griff;;Single Kabelturm|Maschine;einarmig|neutral|Untergriff;;weight_reps;compound;horizontal_pull;bilateral;true;prüfen;Equipment ergänzt: Single Kabelturm|Maschine
EX-0100;M. latissimus dorsi;;Rücken;;T-Bar Row mit engem Griff;Maschine;Maschine;brustgestützt|Landmine;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0101;M. latissimus dorsi;;Rücken;;Meadows Row;Maschine;Maschine;Landmine;;weight_reps;compound;horizontal_pull;unilateral;true;auto_ok;
EX-0102;MM. rhomboidei;;Rücken;;Rudern mit Schulterblattretraktion;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Single Kabelturm|Kurzhantel|Langhantel|Maschine;Band;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0103;MM. rhomboidei;;Rücken;;Brustgestütztes Rudern;Kurzhantel|Langhantel|Maschine;Kurzhantel|Langhantel|Maschine;T-Bar;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0104;MM. rhomboidei;;Rücken;;Band Pull-apart;;Widerstandsband;Obergriff|Untergriff|verschiedene Zughöhen;;reps_only;isolation;shoulder_retraction;bilateral;true;prüfen;"Equipment ergänzt: Widerstandsband; Tracking-Typ fachlich prüfen"
EX-0105;MM. rhomboidei;;Rücken;;Prone T-Raise;Single Kabelturm|Kurzhantel;Single Kabelturm|Kurzhantel;Band;;weight_reps;isolation;shoulder_retraction;bilateral;true;auto_ok;
EX-0106;MM. rhomboidei;;Rücken;;Seal Row;Kurzhantel|Langhantel;Kurzhantel|Langhantel;;;weight_reps;compound;horizontal_pull;bilateral;true;auto_ok;
EX-0107;M. erector spinae;;Rückenstrecker;;Kreuzheben;Trap(Hex) Bar;Trap(Hex) Bar;Block Pull|Defizit|konventionell|Sumo;;weight_reps;compound;hip_hinge;bilateral;true;auto_ok;
EX-0108;M. erector spinae;;Rückenstrecker;;Rumänisches Kreuzheben;Kurzhantel|Langhantel|Multipresse;Kurzhantel|Langhantel|Multipresse;einbeinig;;weight_reps;compound;hip_hinge;bilateral;true;auto_ok;
EX-0109;M. erector spinae;;Rückenstrecker;;Good Morning;Langhantel|Multipresse|Safety Bar;Langhantel|Multipresse|Safety Bar;Band|sitzend/stehend;;weight_reps;compound;hip_hinge;bilateral;true;auto_ok;
EX-0110;M. erector spinae;;Rückenstrecker;;Rückenstrecken / Hyperextension;Maschine;Maschine;45°|gewichtet|GHD|horizontal;;weight_reps;isolation;trunk_extension;bilateral;true;auto_ok;
EX-0111;M. erector spinae;;Rückenstrecker;;Reverse Hyperextension;Bank|Maschine;Bank|Maschine;Band;;weight_reps;isolation;trunk_extension;bilateral;true;prüfen;Klassifikation fachlich gegen gewünschte Library-Logik prüfen
